season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,AvgH,AvgD,AvgA,goals_team,goals_rival,result
2004-05,2004-09-22,Villarreal,Sevilla,1,8,6,0.4,1.0,1.2,-2,0.6,2.0,1.1,9,0.0,1.5,2.5,-2,2.1,3.17,3.11,0,0,0
2004-05,2004-09-23,Barcelona,Zaragoza,1,2,13,0.6,1.7,0.7,10,0.5,1.7,1.8,-1,0.5,2.0,1.0,2,1.33,4.09,8.3,4,1,1
2004-05,2004-09-25,Ath Bilbao,Real Madrid,1,5,4,0.2,1.6,1.6,0,0.4,1.0,1.5,-5,0.5,2.0,2.5,-1,2.86,3.17,2.27,2,1,1
2004-05,2004-09-25,Ath Madrid,Villarreal,1,7,8,0.4,1.7,1.6,1,0.4,1.0,1.0,0,0.5,0.5,0.0,1,1.8,3.19,4.05,1,0,1
2004-05,2004-09-25,La Coruna,Betis,1,3,9,0.4,1.3,1.4,-1,0.5,1.3,1.5,-2,0.0,1.0,1.0,0,1.65,3.33,4.73,1,1,0
2004-05,2004-09-26,Espanol,Malaga,1,17,10,0.6,1.9,1.3,6,0.3,1.2,1.4,-2,0.0,1.5,3.5,-4,1.84,3.18,3.91,1,0,1
2004-05,2004-09-26,Mallorca,Barcelona,1,11,2,0.6,1.8,1.3,5,0.7,2.0,0.7,13,0.0,1.5,3.0,-3,4.48,3.31,1.7,1,3,-1
2004-05,2004-09-26,Numancia,Albacete,1,21,14,0.25,0.75,1.5,-3,0.3,1.1,1.5,-4,0.0,0.0,0.0,0,2.0,3.15,3.38,0,0,0
2004-05,2004-09-26,Osasuna,Getafe,1,12,21,0.2,1.0,1.5,-5,0.25,0.75,1.5,-3,0.0,0.0,0.0,0,1.62,3.36,5.04,2,1,1
2004-05,2004-09-26,Sevilla,Sociedad,1,6,15,0.6,2.0,1.1,9,0.1,1.4,1.5,-1,0.5,1.0,0.5,1,1.8,3.19,4.05,2,1,1
2004-05,2004-09-26,Valencia,Santander,1,1,16,0.5,2.0,1.1,9,0.2,0.9,1.8,-9,0.5,2.0,1.0,2,1.32,4.19,8.4,2,0,1
2004-05,2004-09-26,Zaragoza,Levante,1,13,21,0.5,1.8,2.1,-3,0.5,1.25,1.25,0,0.0,0.0,0.0,0,1.73,3.24,4.42,4,3,1
2004-05,2004-10-02,Betis,Valencia,1,9,1,0.4,1.3,1.6,-3,0.6,2.0,0.9,11,0.0,0.0,1.5,-3,3.28,3.18,2.05,1,1,0
2004-05,2004-10-02,Sociedad,Ath Madrid,1,15,7,0.1,1.3,1.5,-2,0.5,1.7,1.4,3,0.5,1.0,2.5,-3,2.38,3.13,2.72,1,0,1
2004-05,2004-10-03,Getafe,Ath Bilbao,1,21,5,0.2,0.8,1.6,-4,0.2,1.4,1.7,-3,0.0,0.0,0.0,0,2.54,3.13,2.51,3,1,1
2004-05,2004-10-03,Barcelona,Numancia,1,2,21,0.7,2.0,0.8,12,0.2,0.6,1.2,-3,0.0,0.0,0.0,0,1.2,5.15,11.6,1,0,1
2004-05,2004-10-03,Levante,Mallorca,1,21,11,0.4,1.6,1.8,-1,0.6,1.8,1.4,4,0.0,0.0,0.0,0,1.98,3.18,3.39,2,0,1
2004-05,2004-10-03,Albacete,Espanol,1,14,17,0.3,1.1,1.3,-2,0.6,1.7,1.2,5,0.5,1.5,1.0,1,2.5,3.13,2.55,1,0,1
2004-05,2004-10-03,Villarreal,Zaragoza,1,8,13,0.3,0.8,1.0,-2,0.6,2.2,2.0,2,0.0,1.0,2.5,-3,2.05,3.16,3.22,2,0,1
2004-05,2004-10-03,Real Madrid,La Coruna,1,4,3,0.3,0.9,1.6,-7,0.4,1.3,1.4,-1,0.5,1.0,1.5,-1,1.57,3.49,5.51,0,1,-1
2004-05,2004-10-03,Malaga,Osasuna,1,10,12,0.3,1.2,1.2,0,0.3,1.1,1.3,-2,0.0,0.5,0.5,0,2.08,3.17,3.16,2,0,1
2004-05,2004-10-03,Santander,Sevilla,1,16,6,0.2,0.7,1.5,-8,0.6,1.7,1.0,7,0.0,1.0,4.5,-7,2.43,3.11,2.64,0,0,0
